,diesel,petrol
Rajouri,84.74 ₹/L,99.18 ₹/L
Rajsamand,94.35 ₹/L,109.17 ₹/L
Ramanagara,88.29 ₹/L,102.39 ₹/L
Ramanathapuram,95.41 ₹/L,103.78 ₹/L
Ramban,85.17 ₹/L,99.84 ₹/L
Ramgarh,95.19 ₹/L,100.38 ₹/L
Rampur,90.26 ₹/L,97.09 ₹/L
Ranchi,94.65 ₹/L,99.84 ₹/L
Rangareddi,97.82 ₹/L,109.66 ₹/L
Ratlam,93.77 ₹/L,108.49 ₹/L
Ratnagiri,93.87 ₹/L,107.43 ₹/L
